state_name,date_local,aqi_pm25
Alabama,2021-01-18,34.714285714285715
Alaska,2021-01-18,52.5
Arizona,2021-01-18,26.25
Arkansas,2021-01-18,26.75
California,2021-01-18,33.529411764705884
Colorado,2021-01-18,17.0
Florida,2021-01-18,37.782608695652172
Georgia,2021-01-18,24.8
Idaho,2021-01-18,41.199999999999996
Illinois,2021-01-18,35.285714285714285
Iowa,2021-01-18,37.4375
Louisiana,2021-01-18,39.428571428571431
Maine,2021-01-18,15.0
Michigan,2021-01-18,30.5
Montana,2021-01-18,30.25
New York,2021-01-18,32.952380952380949
North Carolina,2021-01-18,15.0
Ohio,2021-01-18,22.875
Oklahoma,2021-01-18,11.0
Oregon,2021-01-18,33.688888888888883
South Carolina,2021-01-18,27.0
Texas,2021-01-18,43.416666666666664
Virginia,2021-01-18,15.0
Washington,2021-01-18,33.627906976744178
Puerto Rico,2021-01-18,36.0
Alabama,2021-01-19,51.666666666666664
Alaska,2021-01-19,16.375000000000004
Arizona,2021-01-19,28.875
Arkansas,2021-01-19,27.5
California,2021-01-19,26.958333333333332
Colorado,2021-01-19,3.7272727272727275
Florida,2021-01-19,41.851851851851855
Georgia,2021-01-19,40.142857142857146
Idaho,2021-01-19,31.818181818181817
Illinois,2021-01-19,41.0
Iowa,2021-01-19,36.352941176470587
Louisiana,2021-01-19,36.374999999999993
Maine,2021-01-19,7.666666666666667
Michigan,2021-01-19,18.75
Montana,2021-01-19,14.5
New York,2021-01-19,34.80952380952381
North Carolina,2021-01-19,13.75
Ohio,2021-01-19,24.666666666666664
Oklahoma,2021-01-19,14.8
Oregon,2021-01-19,35.3921568627451
South Carolina,2021-01-19,30.333333333333336
Texas,2021-01-19,30.214285714285715
Virginia,2021-01-19,13.666666666666666
Washington,2021-01-19,32.274509803921561
Puerto Rico,2021-01-19,32.0
Vermont,2021-01-19,8.5
Connecticut,2021-01-19,8.0
Hawaii,2021-01-19,1.5
Kansas,2021-01-19,6.0
Kentucky,2021-01-19,15.0
Maryland,2021-01-19,13.0
Massachusetts,2021-01-19,9.0
Minnesota,2021-01-19,6.333333333333333
Missouri,2021-01-19,13.0
Nebraska,2021-01-19,4.0
Nevada,2021-01-19,3.0
New Hampshire,2021-01-19,5.0
New Jersey,2021-01-19,15.0
New Mexico,2021-01-19,5.8571428571428568
North Dakota,2021-01-19,9.5
Pennsylvania,2021-01-19,29.0
South Dakota,2021-01-19,3.0
Tennessee,2021-01-19,17.0
Utah,2021-01-19,4.2
West Virginia,2021-01-19,8.0
Wisconsin,2021-01-19,5.0
Wyoming,2021-01-19,1.5
Virgin Islands,2021-01-19,13.0
Alabama,2021-01-20,36.166666666666664
Alaska,2021-01-20,76.5
Arizona,2021-01-20,38.25
Arkansas,2021-01-20,25.0
California,2021-01-20,27.371428571428574
Colorado,2021-01-20,31.0
Florida,2021-01-20,46.521739130434788
Georgia,2021-01-20,25.0
Idaho,2021-01-20,41.350000000000009
Illinois,2021-01-20,31.6
Iowa,2021-01-20,19.933333333333334
Louisiana,2021-01-20,50.0
Maine,2021-01-20,20.0
Michigan,2021-01-20,25.5
Montana,2021-01-20,27.0
New York,2021-01-20,29.333333333333332
North Carolina,2021-01-20,20.0
Ohio,2021-01-20,23.875
Oklahoma,2021-01-20,25.333333333333332
Oregon,2021-01-20,50.022222222222233
South Carolina,2021-01-20,39.8
Texas,2021-01-20,32.25
Virginia,2021-01-20,10.0
Washington,2021-01-20,40.38095238095238
Puerto Rico,2021-01-20,41.0
Alabama,2021-01-21,34.0
Alaska,2021-01-21,85.5
Arizona,2021-01-21,18.5
Arkansas,2021-01-21,30.25
California,2021-01-21,37.888888888888893
Colorado,2021-01-21,46.0
Florida,2021-01-21,46.681818181818187
Georgia,2021-01-21,26.6
Idaho,2021-01-21,46.70000000000001
Illinois,2021-01-21,22.428571428571427
Iowa,2021-01-21,14.0
Louisiana,2021-01-21,22.428571428571427
Maine,2021-01-21,24.0
Michigan,2021-01-21,25.5
Montana,2021-01-21,29.25
New York,2021-01-21,33.666666666666671
North Carolina,2021-01-21,30.0
Ohio,2021-01-21,20.125
Oklahoma,2021-01-21,24.333333333333332
Oregon,2021-01-21,48.199999999999996
South Carolina,2021-01-21,40.0
Texas,2021-01-21,29.000000000000007
Virginia,2021-01-21,9.0
Washington,2021-01-21,37.666666666666671
Puerto Rico,2021-01-21,29.0
Alabama,2021-01-22,26.500000000000004
Alaska,2021-01-22,45.142857142857146
Arizona,2021-01-22,13.75
Arkansas,2021-01-22,24.0
California,2021-01-22,25.185185185185183
Colorado,2021-01-22,9.454545454545455
Florida,2021-01-22,28.777777777777775
Georgia,2021-01-22,17.125
Idaho,2021-01-22,41.826086956521742
Illinois,2021-01-22,20.375
Iowa,2021-01-22,16.058823529411764
Louisiana,2021-01-22,7.5000000000000009
Maine,2021-01-22,17.333333333333336
Michigan,2021-01-22,12.25
Montana,2021-01-22,13.250000000000002
New York,2021-01-22,35.38095238095238
North Carolina,2021-01-22,10.75
Ohio,2021-01-22,17.2
Oklahoma,2021-01-22,24.0
Oregon,2021-01-22,32.039215686274495
South Carolina,2021-01-22,28.833333333333336
Texas,2021-01-22,26.875
Virginia,2021-01-22,10.333333333333334
Washington,2021-01-22,23.307692307692314
Puerto Rico,2021-01-22,35.0
Vermont,2021-01-22,16.25
Country Of Mexico,2021-01-22,0.0
Connecticut,2021-01-22,11.0
Hawaii,2021-01-22,7.0
Kansas,2021-01-22,9.0
Kentucky,2021-01-22,20.0
Maryland,2021-01-22,13.0
Massachusetts,2021-01-22,16.0
Minnesota,2021-01-22,5.333333333333333
Missouri,2021-01-22,11.0
Nebraska,2021-01-22,6.0
Nevada,2021-01-22,6.5
New Hampshire,2021-01-22,17.333333333333332
New Jersey,2021-01-22,18.0
New Mexico,2021-01-22,6.7142857142857144
North Dakota,2021-01-22,12.5
Pennsylvania,2021-01-22,19.0
South Dakota,2021-01-22,5.5
Tennessee,2021-01-22,13.0
Utah,2021-01-22,19.8
West Virginia,2021-01-22,12.0
Wisconsin,2021-01-22,3.0
Wyoming,2021-01-22,3.0
Virgin Islands,2021-01-22,7.0
Alabama,2021-01-23,31.333333333333336
Alaska,2021-01-23,87.5
Arizona,2021-01-23,24.5
Arkansas,2021-01-23,20.25
California,2021-01-23,26.885714285714283
Colorado,2021-01-23,19.0
Florida,2021-01-23,28.954545454545453
Georgia,2021-01-23,24.6
Idaho,2021-01-23,33.333333333333336
Illinois,2021-01-23,35.571428571428577
Iowa,2021-01-23,35.666666666666679
Louisiana,2021-01-23,14.571428571428571
Maine,2021-01-23,12.0
Michigan,2021-01-23,28.5
Montana,2021-01-23,45.5
New York,2021-01-23,25.19047619047619
North Carolina,2021-01-23,11.0
Ohio,2021-01-23,22.428571428571431
Oklahoma,2021-01-23,17.25
Oregon,2021-01-23,43.622222222222213
South Carolina,2021-01-23,27.166666666666668
Texas,2021-01-23,27.166666666666668
Virginia,2021-01-23,15.0
Washington,2021-01-23,36.857142857142861
Puerto Rico,2021-01-23,29.0
Alabama,2021-01-24,38.833333333333336
Alaska,2021-01-24,73.5
Arizona,2021-01-24,16.5
Arkansas,2021-01-24,30.25
California,2021-01-24,30.228571428571438
Colorado,2021-01-24,15.0
Florida,2021-01-24,31.954545454545457
Georgia,2021-01-24,28.2
Idaho,2021-01-24,32.666666666666671
Illinois,2021-01-24,46.0
Iowa,2021-01-24,49.066666666666663
Louisiana,2021-01-24,22.142857142857142
Maine,2021-01-24,13.0
Michigan,2021-01-24,27.5
Montana,2021-01-24,40.25
New York,2021-01-24,22.000000000000004
North Carolina,2021-01-24,16.0
Ohio,2021-01-24,27.142857142857142
Oklahoma,2021-01-24,22.25
Oregon,2021-01-24,36.599999999999987
South Carolina,2021-01-24,23.5
Texas,2021-01-24,29.499999999999996
Virginia,2021-01-24,13.0
