state_name,date_local,aqi_o3
Connecticut,2021-01-10,32.25
Mississippi,2021-01-10,27.0
South Dakota,2021-01-10,30.285714285714285
South Carolina,2021-01-10,30.25
Hawaii,2021-01-10,26.5
Puerto Rico,2021-01-10,8.0
Alaska,2021-01-10,38.0
Ohio,2021-01-10,23.833333333333332
Utah,2021-01-10,32.481481481481474
Maine,2021-01-10,34.0
Arizona,2021-01-10,42.023809523809533
Florida,2021-01-10,30.68965517241379
Georgia,2021-01-10,27.0
Indiana,2021-01-10,24.0
Colorado,2021-01-10,34.437500000000007
Illinois,2021-01-10,27.6
Kentucky,2021-01-10,25.0
Minnesota,2021-01-10,27.25
Tennessee,2021-01-10,29.0
Wisconsin,2021-01-10,26.5
New Jersey,2021-01-10,29.833333333333336
Washington,2021-01-10,20.333333333333332
Pennsylvania,2021-01-10,28.560000000000002
Massachusetts,2021-01-10,33.3125
North Carolina,2021-01-10,32.285714285714285
Idaho,2021-01-10,29.333333333333332
Rhode Island,2021-01-10,36.0
Vermont,2021-01-10,31.666666666666668
District Of Columbia,2021-01-10,32.0
Iowa,2021-01-10,22.0
Kansas,2021-01-10,25.777777777777779
Nevada,2021-01-10,30.19047619047619
Oregon,2021-01-10,11.0
Wyoming,2021-01-10,33.363636363636353
Maryland,2021-01-10,33.4
Missouri,2021-01-10,24.25
New York,2021-01-10,29.592592592592595
North Dakota,2021-01-10,27.555555555555557
New Hampshire,2021-01-10,35.333333333333329
West Virginia,2021-01-10,24.666666666666668
Delaware,2021-01-11,16.571428571428569
Rhode Island,2021-01-11,19.0
Vermont,2021-01-11,22.666666666666668
Alaska,2021-01-11,41.0
Iowa,2021-01-11,27.0
Georgia,2021-01-11,18.5
Kentucky,2021-01-11,22.5
Maryland,2021-01-11,23.8
Missouri,2021-01-11,24.5
Oklahoma,2021-01-11,27.733333333333334
Virginia,2021-01-11,17.666666666666668
Louisiana,2021-01-11,23.272727272727273
New Jersey,2021-01-11,15.333333333333332
Washington,2021-01-11,29.0
Mississippi,2021-01-11,21.0
Pennsylvania,2021-01-11,17.346938775510203
West Virginia,2021-01-11,24.666666666666668
North Carolina,2021-01-11,24.428571428571427
South Carolina,2021-01-11,23.25
Hawaii,2021-01-11,25.0
Idaho,2021-01-11,29.333333333333332
District Of Columbia,2021-01-11,10.666666666666666
Ohio,2021-01-11,21.666666666666668
Utah,2021-01-11,29.518518518518515
Maine,2021-01-11,28.0
Arizona,2021-01-11,37.928571428571416
Florida,2021-01-11,34.137931034482769
Indiana,2021-01-11,21.526315789473689
Wyoming,2021-01-11,34.826086956521735
Arkansas,2021-01-11,26.25
Colorado,2021-01-11,35.848484848484851
Connecticut,2021-01-11,16.75
South Dakota,2021-01-11,27.428571428571427
Nebraska,2021-01-11,22.0
Puerto Rico,2021-01-11,7.0
Texas,2021-01-11,25.736111111111114
Kansas,2021-01-11,26.888888888888889
Nevada,2021-01-11,27.19047619047619
Oregon,2021-01-11,24.0
Alabama,2021-01-11,20.0
Montana,2021-01-11,27.625
Illinois,2021-01-11,24.6
Michigan,2021-01-11,24.142857142857142
New York,2021-01-11,20.62962962962963
Minnesota,2021-01-11,21.0
Tennessee,2021-01-11,26.0
Wisconsin,2021-01-11,24.75
California,2021-01-11,25.675159235668783
New Mexico,2021-01-11,29.299999999999997
North Dakota,2021-01-11,25.555555555555557
Massachusetts,2021-01-11,17.333333333333332
New Hampshire,2021-01-11,25.142857142857142
Delaware,2021-01-12,23.0
District Of Columbia,2021-01-12,21.0
Oregon,2021-01-12,26.5
Alabama,2021-01-12,20.0
Arizona,2021-01-12,37.571428571428569
Georgia,2021-01-12,21.5
Missouri,2021-01-12,24.75
New York,2021-01-12,21.148148148148152
Wisconsin,2021-01-12,18.75
South Dakota,2021-01-12,27.0
